,Domain Name,Domain Type,Agency,City,State
2055,TOWNOFMAYNARD-MA.GOV,City,Non-Federal Agency,Maynard,MA
2069,TOWNOFSHIRLEY-MA.GOV,City,Non-Federal Agency,Shirley,MA
2096,TRURO-MA.GOV,City,Non-Federal Agency,Truro,MA
2113,TYNGSBOROUGHMA.GOV,City,Non-Federal Agency,Tyngsborough,MA
2114,TYRINGHAM-MA.GOV,City,Non-Federal Agency,Tyringham,MA
2129,UPTONMA.GOV,City,Non-Federal Agency,Upton,MA
2133,UXBRIDGE-MA.GOV,City,Non-Federal Agency,Uxbridge,MA
2190,WARREN-MA.GOV,City,Non-Federal Agency,Warren,MA
2205,WATERTOWN-MA.GOV,City,Non-Federal Agency,Watertown,MA
2216,WEBSTER-MA.GOV,City,Non-Federal Agency,Webster,MA
2220,WELLESLEYMA.GOV,City,Non-Federal Agency,Wellesley,MA
2221,WELLFLEET-MA.GOV,City,Non-Federal Agency,Wellfleet,MA
2230,WESTBOYLSTON-MA.GOV,City,Non-Federal Agency,West Boylston,MA
2236,WESTFORD-MA.GOV,City,Non-Federal Agency,Westford,MA
2237,WESTFORDMA.GOV,City,Non-Federal Agency,Westford,MA
2246,WESTMINSTER-MA.GOV,City,Non-Federal Agency,Westminster,MA
2252,WESTPORT-MA.GOV,City,Non-Federal Agency,Westport,MA
2254,WESTSTOCKBRIDGE-MA.GOV,City,Non-Federal Agency,West Stockbridge,MA
2255,WESTTISBURY-MA.GOV,City,Non-Federal Agency,West Tisbury,MA
2258,WESTWOOD-MA.GOV,City,Non-Federal Agency,Westwood,MA
2259,WESTWOODMA.GOV,City,Non-Federal Agency,Westwood,MA
2271,WILBRAHAM-MA.GOV,City,Non-Federal Agency,Wilbraham,MA
2280,WILLIAMSTOWNMA.GOV,City,Non-Federal Agency,Williamstown,MA
2288,WILMINGTONMA.GOV,City,Non-Federal Agency,wilmington,MA
2301,WOBURNMA.GOV,City,Non-Federal Agency,Woburn,MA
2311,WORCESTERMA.GOV,City,Non-Federal Agency,Worcester,MA
