,Domain Name,Domain Type,Agency,City,State
1300,MARBLEFALLSTX.GOV,City,Non-Federal Agency,Marble Falls,TX
1325,MCTX.GOV,City,Non-Federal Agency,Missouri City,TX
1326,MEADOWSPLACETX.GOV,City,Non-Federal Agency,Meadows Place,TX
1343,MESQUITETX.GOV,City,Non-Federal Agency,Mesquite,TX
1358,MIDLANDTEXAS.GOV,City,Non-Federal Agency,Midland,TX
1359,MIDLOTHIANTX.GOV,City,Non-Federal Agency,Midlothian,TX
1378,MINERALWELLSTX.GOV,City,Non-Federal Agency,Mineral Wells,TX
1385,MISSOURICITYTEXAS.GOV,City,Non-Federal Agency,Missouri City,TX
1386,MISSOURICITYTX.GOV,City,Non-Federal Agency,Missouri City,TX
1399,MONTGOMERYTEXAS.GOV,City,Non-Federal Agency,Montgomery,TX
1402,MOODYTX.GOV,City,Non-Federal Agency,Moody,TX
1433,MURPHYTX.GOV,City,Non-Federal Agency,Murphy,TX
1439,MYARLINGTONTX.GOV,City,Non-Federal Agency,Arlington,TX
1454,NAVASOTATX.GOV,City,Non-Federal Agency,Navasota,TX
1478,NEWHOPETX.GOV,City,Non-Federal Agency,New Hope,TX
1574,ODESSA-TX.GOV,City,Non-Federal Agency,Odessa,TX
1608,PANORAMAVILLAGETX.GOV,City,Non-Federal Agency,Panorama Village,TX
1610,PARISTEXAS.GOV,City,Non-Federal Agency,Paris,TX
1616,PASADENATX.GOV,City,Non-Federal Agency,Pasadena,TX
1625,PEARLANDTX.GOV,City,Non-Federal Agency,Pearland,TX
1626,PECOSTX.GOV,City,Non-Federal Agency,Pecos,TX
1636,PFLUGERVILLETX.GOV,City,Non-Federal Agency,Pflugerville,TX
1637,PHARR-TX.GOV,City,Non-Federal Agency,Pharr,TX
1659,PLANO.GOV,City,Non-Federal Agency,Plano,TX
1662,PLEASANTONTX.GOV,City,Non-Federal Agency,Pleasanton,TX
1687,PORTARTHURTX.GOV,City,Non-Federal Agency,Port Arthur,TX
1693,PORTLANDTX.GOV,City,Non-Federal Agency,Portland,TX
1700,PRAIRIEVIEWTEXAS.GOV,City,Non-Federal Agency,Prairie View,TX
1708,PRINCETONTX.GOV,City,Non-Federal Agency,Princeton,TX
1711,PROSPERTX.GOV,City,Non-Federal Agency,Prosper,TX
1725,RANGERTX.GOV,City,Non-Federal Agency,Ranger,TX
